run_at_utc,score,n,win_rate_pct,mean_return_pct,median_return_pct
2026-09-23T16:06:23.934107+00:00,1,4535,24.0,0.79,0.36
2026-09-23T16:06:23.934107+00:00,2,416,18.0,0.5,0.11
2026-09-23T16:06:23.934107+00:00,3,14,28.6,0.25,-0.33
2026-09-23T16:15:19.889938+00:00,1,4535,24.0,0.79,0.36
2026-09-23T16:15:19.889938+00:00,2,416,18.0,0.5,0.11
2026-09-23T16:15:19.889938+00:00,3,14,28.6,0.25,-0.33
2026-09-23T16:40:12.883413+00:00,1,4535,24.0,0.79,0.36
2026-09-23T16:40:12.883413+00:00,2,416,18.0,0.5,0.11
2026-09-23T16:40:12.883413+00:00,3,14,28.6,0.25,-0.33
2026-09-23T17:07:01.533122+00:00,1,4532,24.0,0.78,0.36
2026-09-23T17:07:01.533122+00:00,2,414,18.4,0.5,0.09
2026-09-23T17:07:01.533122+00:00,3,14,28.6,0.25,-0.33
2026-09-23T17:37:36.244019+00:00,1,4532,24.0,0.78,0.36
2026-09-23T17:37:36.244019+00:00,2,414,18.4,0.5,0.09
2026-09-23T17:37:36.244019+00:00,3,14,28.6,0.25,-0.33
2026-09-23T18:09:14.599100+00:00,1,4528,24.0,0.78,0.36
2026-09-23T18:09:14.599100+00:00,2,414,18.6,0.51,0.09
2026-09-23T18:09:14.599100+00:00,3,14,28.6,0.25,-0.33
2026-09-23T18:40:33.681545+00:00,1,4528,24.0,0.77,0.36
2026-09-23T18:40:33.681545+00:00,2,414,18.4,0.5,0.09
2026-09-23T18:40:33.681545+00:00,3,14,28.6,0.25,-0.33
2026-09-23T19:06:20.771277+00:00,1,4524,24.0,0.76,0.36
2026-09-23T19:06:20.771277+00:00,2,415,18.3,0.49,0.09
2026-09-23T19:06:20.771277+00:00,3,14,28.6,0.25,-0.33
2026-09-23T19:38:29.857576+00:00,1,4524,24.0,0.77,0.36
2026-09-23T19:38:29.857576+00:00,2,415,18.3,0.49,0.09
2026-09-23T19:38:29.857576+00:00,3,14,28.6,0.25,-0.33
2026-09-23T20:07:40.427900+00:00,1,4527,23.9,0.75,0.35
2026-09-23T20:07:40.427900+00:00,2,415,18.3,0.48,0.09
2026-09-23T20:07:40.427900+00:00,3,14,28.6,0.25,-0.33
2026-09-23T20:37:51.638159+00:00,1,4527,23.9,0.75,0.35
2026-09-23T20:37:51.638159+00:00,2,415,18.3,0.48,0.09
2026-09-23T20:37:51.638159+00:00,3,14,28.6,0.25,-0.33
2026-09-23T21:07:19.483793+00:00,1,4531,23.9,0.74,0.35
2026-09-23T21:07:19.483793+00:00,2,411,18.5,0.48,0.06
2026-09-23T21:07:19.483793+00:00,3,14,28.6,0.25,-0.33
2026-09-23T21:37:31.416093+00:00,1,4531,23.9,0.74,0.35
2026-09-23T21:37:31.416093+00:00,2,411,18.5,0.48,0.06
2026-09-23T21:37:31.416093+00:00,3,14,28.6,0.25,-0.33
2026-09-23T22:07:14.606784+00:00,1,4531,23.9,0.72,0.34
2026-09-23T22:07:14.606784+00:00,2,409,18.6,0.49,0.06
2026-09-23T22:07:14.606784+00:00,3,14,28.6,0.25,-0.33
2026-09-23T22:36:51.667264+00:00,1,4531,23.9,0.72,0.34
2026-09-23T22:36:51.667264+00:00,2,409,18.6,0.49,0.06
2026-09-23T22:36:51.667264+00:00,3,14,28.6,0.25,-0.33
