symbol,bars,date_from,date_to,years,signal_occurrences
BTCUSDT,19942,2017-08-17,2026-09-25,9.11,8372
ETHUSDT,19942,2017-08-17,2026-09-25,9.11,8260
BNBUSDT,19457,2017-11-06,2026-09-25,8.88,7872
LTCUSDT,19235,2017-12-13,2026-09-25,8.78,8171
ADAUSDT,18491,2018-04-17,2026-09-25,8.44,7933
XRPUSDT,18388,2018-05-04,2026-09-25,8.39,7981
XLMUSDT,18226,2018-05-31,2026-09-25,8.32,7867
TRXUSDT,18160,2018-06-11,2026-09-25,8.29,7283
ETCUSDT,18156,2018-06-12,2026-09-25,8.29,8002
LINKUSDT,16850,2019-01-16,2026-09-25,7.69,6931
ENJUSDT,16300,2019-04-18,2026-09-25,7.44,7177
ATOMUSDT,16234,2019-04-29,2026-09-25,7.41,6989
DOGEUSDT,15832,2019-07-05,2026-09-25,7.22,7108
CHZUSDT,15457,2019-09-06,2026-09-25,7.05,6599
BCHUSDT,14958,2019-11-28,2026-09-25,6.83,6435
MANAUSDT,13447,2020-08-06,2026-09-25,6.14,5931
SOLUSDT,13418,2020-08-11,2026-09-25,6.12,5542
SANDUSDT,13398,2020-08-14,2026-09-25,6.11,6055
DOTUSDT,13372,2020-08-18,2026-09-25,6.1,5842
UNIUSDT,13197,2020-09-17,2026-09-25,6.02,5754
AVAXUSDT,13166,2020-09-22,2026-09-25,6.01,5646
NEARUSDT,13034,2020-10-14,2026-09-25,5.95,5585
FILUSDT,13025,2020-10-15,2026-09-25,5.94,5873
AAVEUSDT,13029,2020-10-15,2026-09-25,5.94,5631
AXSUSDT,12906,2020-11-04,2026-09-25,5.89,5919
SHIBUSDT,11785,2021-05-10,2026-09-25,5.38,5330
OPUSDT,9463,2022-06-01,2026-09-25,4.32,4237
APTUSDT,8625,2022-10-19,2026-09-25,3.93,3752
ARBUSDT,7692,2023-03-23,2026-09-25,3.51,3419
SUIUSDT,7446,2023-05-03,2026-09-25,3.39,3290
