銘柄範囲,銘柄数,年,投資割合,通知回数,勝率(%),平均リターン(%),最終残高(円),損益(円),最大ドローダウン(%)
BTCのみ（1銘柄）,1,2023,10%,58,79.3,1.95,1118840,118840,8.7
BTCのみ（1銘柄）,1,2023,15%,58,79.3,1.95,1182499,182499,12.8
BTCのみ（1銘柄）,1,2023,20%,58,79.3,1.95,1249104,249104,16.7
BTCのみ（1銘柄）,1,2024,10%,54,87.0,3.28,1193052,193052,2.6
BTCのみ（1銘柄）,1,2024,15%,54,87.0,3.28,1302376,302376,3.8
BTCのみ（1銘柄）,1,2024,20%,54,87.0,3.28,1421166,421166,5.1
主要5銘柄,5,2023,10%,281,83.6,1.54,1527446,527446,34.0
主要5銘柄,5,2023,15%,281,83.6,1.54,1874260,874260,46.6
主要5銘柄,5,2023,20%,281,83.6,1.54,2288604,1288604,56.8
主要5銘柄,5,2024,10%,304,89.5,2.48,2109069,1109069,15.6
主要5銘柄,5,2024,15%,304,89.5,2.48,3041612,2041612,22.6
主要5銘柄,5,2024,20%,304,89.5,2.48,4365711,3365711,29.1
全30銘柄,30,2023,10%,1783,83.4,0.72,3321142,2321142,96.2
全30銘柄,30,2023,15%,1783,83.4,0.72,5645803,4645803,99.3
全30銘柄,30,2023,20%,1783,83.4,0.72,9149371,8149371,99.9
全30銘柄,30,2024,10%,1935,86.9,0.68,3249292,2249292,92.3
全30銘柄,30,2024,15%,1935,86.9,0.68,5289754,4289754,98.0
全30銘柄,30,2024,20%,1935,86.9,0.68,8021916,7021916,99.5
