銘柄範囲,銘柄数,年,投資割合,通知回数,勝率(%),平均リターン(%),最終残高(円),損益(円),最大ドローダウン(%)
BTCのみ（1銘柄）,1,2023,10%,58,75.9,5.26,1352905,352905,8.7
BTCのみ（1銘柄）,1,2023,15%,58,75.9,5.26,1570550,570550,12.8
BTCのみ（1銘柄）,1,2023,20%,58,75.9,5.26,1820850,820850,16.7
BTCのみ（1銘柄）,1,2024,10%,54,81.5,6.54,1420343,420343,3.6
BTCのみ（1銘柄）,1,2024,15%,54,81.5,6.54,1689871,689871,5.4
BTCのみ（1銘柄）,1,2024,20%,54,81.5,6.54,2008295,1008295,7.1
主要5銘柄,5,2023,10%,281,75.4,3.65,2733825,1733825,43.3
主要5銘柄,5,2023,15%,281,75.4,3.65,4456242,3456242,57.5
主要5銘柄,5,2023,20%,281,75.4,3.65,7194501,6194501,68.3
主要5銘柄,5,2024,10%,304,82.2,5.06,4555408,3555408,17.9
主要5銘柄,5,2024,15%,304,82.2,5.06,9573005,8573005,25.7
主要5銘柄,5,2024,20%,304,82.2,5.06,19908525,18908525,32.9
全30銘柄,30,2023,10%,1783,72.6,1.94,26768153,25768153,98.8
全30銘柄,30,2023,15%,1783,72.6,1.94,121788117,120788117,99.9
全30銘柄,30,2023,20%,1783,72.6,1.94,507679356,506679356,100.0
全30銘柄,30,2024,10%,1935,76.5,1.59,16802140,15802140,98.7
全30銘柄,30,2024,15%,1935,76.5,1.59,56894975,55894975,99.9
全30銘柄,30,2024,20%,1935,76.5,1.59,168898965,167898965,100.0
