symbol,entry_time,entry_price,exit_time,exit_price,raw_return_pct,net_return_pct,resolved,bars_held,days_held,signal_volume_ratio
OPUSDT,2022-11-02 01:00:00+00:00,1.021,2022-11-03 15:00:00+00:00,1.1231,10.0,9.8,True,38,1.58,3.464
ETCUSDT,2022-11-02 01:00:00+00:00,24.09,2022-11-05 11:00:00+00:00,26.499000000000002,10.0,9.8,True,82,3.42,3.384
BCHUSDT,2022-11-02 09:00:00+00:00,118.6,2023-01-01 08:00:00+00:00,96.4,-18.718,-18.918,False,1439,59.96,12.938
ETCUSDT,2022-11-02 09:00:00+00:00,24.29,2022-11-05 11:00:00+00:00,26.719,10.0,9.8,True,74,3.08,2.875
ADAUSDT,2022-11-02 10:00:00+00:00,0.391,2022-11-05 01:00:00+00:00,0.43010000000000004,10.0,9.8,True,63,2.62,4.734
XLMUSDT,2022-11-02 11:00:00+00:00,0.1085,2023-01-01 10:00:00+00:00,0.0716,-34.009,-34.209,False,1439,59.96,4.468
BNBUSDT,2022-11-02 17:00:00+00:00,325.9,2022-11-04 14:00:00+00:00,358.49,10.0,9.8,True,45,1.88,2.873
ETHUSDT,2022-11-02 19:00:00+00:00,1563.68,2023-01-01 18:00:00+00:00,1200.92,-23.199,-23.399,False,1439,59.96,10.767
FILUSDT,2022-11-02 19:00:00+00:00,5.33,2022-11-03 04:00:00+00:00,5.863,10.0,9.8,True,9,0.38,5.141
MANAUSDT,2022-11-02 19:00:00+00:00,0.6279,2022-11-04 20:00:00+00:00,0.69069,10.0,9.8,True,49,2.04,7.008
ENJUSDT,2022-11-02 19:00:00+00:00,0.4323,2022-11-04 21:00:00+00:00,0.47553000000000006,10.0,9.8,True,50,2.08,7.163
NEARUSDT,2022-11-02 19:00:00+00:00,2.941,2022-11-04 08:00:00+00:00,3.2351,10.0,9.8,True,37,1.54,6.286
DOTUSDT,2022-11-02 19:00:00+00:00,6.39,2022-11-04 22:00:00+00:00,7.029,10.0,9.8,True,51,2.12,7.18
OPUSDT,2022-11-02 19:00:00+00:00,1.013,2022-11-03 14:00:00+00:00,1.1143,10.0,9.8,True,19,0.79,7.585
SANDUSDT,2022-11-02 19:00:00+00:00,0.8212,2022-11-05 00:00:00+00:00,0.9033200000000001,10.0,9.8,True,53,2.21,4.566
SHIBUSDT,2022-11-02 19:00:00+00:00,1.217e-05,2022-11-04 05:00:00+00:00,1.3387e-05,10.0,9.8,True,34,1.42,4.757
SOLUSDT,2022-11-02 19:00:00+00:00,31.82,2022-11-05 01:00:00+00:00,35.002,10.0,9.8,True,54,2.25,11.844
APTUSDT,2022-11-02 19:00:00+00:00,7.3456,2022-11-06 07:00:00+00:00,8.080160000000001,10.0,9.8,True,84,3.5,3.415
UNIUSDT,2022-11-02 19:00:00+00:00,7.21,2023-01-01 18:00:00+00:00,5.222,-27.573,-27.773,False,1439,59.96,8.202
