symbol,score,price,pct_change_24h_bars,volume_spike,volume_ratio,bb_squeeze,bandwidth_pct,golden_cross,rsi,rsi_rebound
DOTUSDT,1,1.16,5.55,True,2.51,False,7.15,False,72.9,False
SUIUSDT,1,1.0103,5.75,False,1.99,False,6.56,True,71.1,False
ADAUSDT,1,0.2495,5.1,False,1.09,False,5.94,True,69.0,False
ARBUSDT,1,0.2181,-0.86,False,1.06,True,4.24,False,51.0,False
AVAXUSDT,1,10.401,1.67,False,0.87,True,3.49,False,59.1,False
ETHUSDT,1,2679.64,0.88,False,0.85,False,2.32,False,51.5,True
AAVEUSDT,1,143.69,3.44,False,0.82,False,5.39,True,68.2,False
TRXUSDT,1,0.34,0.12,False,0.68,False,1.98,False,34.1,True
SHIBUSDT,1,5.8e-06,3.39,False,0.66,False,4.51,True,65.2,False
ENJUSDT,1,0.02848,3.34,False,0.52,False,5.81,True,64.8,False
SANDUSDT,1,0.04233,2.82,False,0.45,False,6.32,True,74.2,False
CHZUSDT,1,0.0164,3.21,False,0.34,False,5.89,True,71.8,False
LINKUSDT,0,12.694,4.16,False,1.79,False,4.11,False,67.6,False
ETCUSDT,0,10.19,16.32,False,1.65,False,18.47,False,80.8,False
ATOMUSDT,0,1.782,3.66,False,1.54,False,6.06,False,70.8,False
OPUSDT,0,0.1328,8.06,False,1.49,False,9.37,False,71.1,False
XLMUSDT,0,0.2092,3.21,False,1.35,False,4.91,False,70.5,False
APTUSDT,0,0.8277,8.99,False,1.16,False,10.73,False,72.7,False
DOGEUSDT,0,0.09568,3.14,False,1.11,False,4.22,False,65.9,False
LTCUSDT,0,73.7,23.91,False,1.09,False,22.59,False,79.0,False
BTCUSDT,0,84306.01,0.37,False,0.98,False,1.82,False,52.0,False
FILUSDT,0,0.9981,7.43,False,0.95,False,10.51,False,68.8,False
NEARUSDT,0,4.576,8.54,False,0.95,False,9.18,False,63.8,False
BNBUSDT,0,781.35,2.65,False,0.91,False,2.31,False,66.2,False
SOLUSDT,0,116.23,2.08,False,0.88,False,2.76,False,58.2,False
XRPUSDT,0,1.513,0.45,False,0.87,False,3.95,False,57.7,False
MANAUSDT,0,0.0867,4.21,False,0.86,False,5.94,False,73.9,False
AXSUSDT,0,1.071,1.52,False,0.81,False,5.19,False,68.6,False
BCHUSDT,0,340.4,-0.73,False,0.71,False,4.09,False,52.6,False
UNIUSDT,0,9.262,1.59,False,0.66,False,6.01,False,47.6,False
