symbol,entry_time,entry_price,max_high,max_rise_pct,days_to_max,reached_5pct,reached_7pct,reached_10pct
BNBUSDT,2022-11-02 17:00:00+00:00,325.9,398.3,22.215,5.96,True,True,True
SOLUSDT,2022-11-02 19:00:00+00:00,31.82,38.79,21.904,2.88,True,True,True
ETHUSDT,2022-11-02 19:00:00+00:00,1563.68,1680.0,7.439,1.79,True,True,False
SOLUSDT,2022-11-06 17:00:00+00:00,35.03,35.05,0.057,0.0,False,False,False
BTCUSDT,2022-11-08 17:00:00+00:00,20369.58,20438.77,0.34,0.0,False,False,False
ETHUSDT,2022-11-08 17:00:00+00:00,1545.82,1554.88,0.586,0.0,False,False,False
XRPUSDT,2022-11-08 17:00:00+00:00,0.4487,0.4516,0.646,0.0,False,False,False
BTCUSDT,2022-11-08 19:00:00+00:00,18600.51,18730.0,0.696,0.12,False,False,False
XRPUSDT,2022-11-08 19:00:00+00:00,0.4052,0.4194,3.504,16.54,False,False,False
ETHUSDT,2022-11-09 11:00:00+00:00,1195.02,1352.72,13.196,35.29,True,True,True
SOLUSDT,2022-11-09 19:00:00+00:00,14.26,18.87,32.328,0.88,True,True,True
ETHUSDT,2022-11-11 15:00:00+00:00,1261.99,1352.72,7.189,33.12,True,True,False
BNBUSDT,2022-11-12 07:00:00+00:00,288.3,317.8,10.232,14.29,True,True,True
SOLUSDT,2022-11-13 08:00:00+00:00,13.95,17.5,25.448,57.29,True,True,True
ETHUSDT,2022-11-13 08:00:00+00:00,1250.94,1418.77,13.416,59.67,True,True,True
ETHUSDT,2022-11-14 07:00:00+00:00,1236.84,1438.0,16.264,59.58,True,True,True
SOLUSDT,2022-11-14 07:00:00+00:00,14.58,17.5,20.027,56.33,True,True,True
BTCUSDT,2022-11-14 07:00:00+00:00,16639.75,19117.04,14.888,59.58,True,True,True
BNBUSDT,2022-11-16 15:00:00+00:00,271.8,317.8,16.924,9.96,True,True,True
SOLUSDT,2022-11-17 16:00:00+00:00,13.52,25.0,84.911,58.33,True,True,True
ETHUSDT,2022-11-17 16:00:00+00:00,1192.8,1599.98,34.136,57.33,True,True,True
SOLUSDT,2022-11-19 15:00:00+00:00,12.64,25.0,97.785,56.38,True,True,True
XRPUSDT,2022-11-21 01:00:00+00:00,0.3592,0.4194,16.759,4.29,True,True,True
BNBUSDT,2022-11-21 01:00:00+00:00,264.6,317.8,20.106,5.54,True,True,True
SOLUSDT,2022-11-22 14:00:00+00:00,11.87,26.6,124.094,59.83,True,True,True
BNBUSDT,2022-11-25 13:00:00+00:00,301.7,323.5,7.226,59.58,True,True,False
ETHUSDT,2022-11-28 03:00:00+00:00,1163.8,1679.26,44.291,54.29,True,True,True
BTCUSDT,2022-11-28 17:00:00+00:00,16310.53,23816.73,46.021,58.21,True,True,True
BNBUSDT,2022-12-04 13:00:00+00:00,290.7,334.4,15.033,59.71,True,True,True
